2025-05-25 10:08:44 root         INFO     Starting GetRecords Consumer
2025-05-25 10:08:44 botocore.credentials INFO     Found credentials in shared credentials file: /home/coder/.aws/credentials
2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'f7ddab61-9f0e-4c10-8c0b-cb84730ff7e2', 'customer_number': 377, 'city': 'Stavern', 'country': 'Norway', 'credit_limit': 98312, 'browse_history': [{'product_code': 'S24_3191', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S12_1666', 'quantity': '7', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49663622084629936298149092190837207783580151947806638082
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'f7ddab61-9f0e-4c10-8c0b-cb84730ff7e2', 'customer_number': 377, 'city': 'Stavern', 'country': 'Norway', 'credit_limit': 98312, 'browse_history': [{'product_code': 'S24_3191', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S18_3136', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S12_1666', 'quantity': '7', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 321321), 'overall_product_quantity': 13, 'overall_in_shopping_cart': 13, 'total_different_products': 3}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412443812971602996587679227257099911170 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': 'ead685fc-98b2-4120-9766-eeb77a8749bb', 'customer_number': 138, 'city': 'New Bedford', 'country': 'USA', 'credit_limit': 145095, 'browse_history': [{'product_code': 'S24_3151', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_2248', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_4048', 'quantity': '3', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49663622084629936298149092223403251512359034992503816194
2025-05-25 10:08:45 root         INFO     Processed User Session {'session_id': 'ead685fc-98b2-4120-9766-eeb77a8749bb', 'customer_number': 138, 'city': 'New Bedford', 'country': 'USA', 'credit_limit': 145095, 'browse_history': [{'product_code': 'S24_3151', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S18_2248', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_4048', 'quantity': '3', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2025, 5, 25, 10, 8, 45, 341950), 'overall_product_quantity': 11, 'overall_in_shopping_cart': 4, 'total_different_products': 3}
2025-05-25 10:08:45 root         INFO     Produced record 49663623045524445412431876188301795823455448420235345922 to Shard shardId-000000000000


2025-05-25 10:08:45 root         INFO     Read User Session {'session_id': '5be7a71e-1c5e-45fd-8970-477b702b21b5', 'customer_number': 142, 'city': 'San Diego', 'country': 'USA', 'credit_limit': 96485, 'browse_history': [{'product_code': 'S18_1097', 'quantity': '4', 'in_shopping_cart': True}, {'product_code': 'S32_1374', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S12_4473', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S10_4962', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3969', 'quantity': '5', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49663622084629936298149092244514723100289311417223348226
